canonical_job_id,record_id,organization_name,title,normalized_title,location,source_type,source_provider,job_url
url:adga:careerseniortechnicalarchitectdevsecopsitservicedeliverydefencenc2ss,10,Adga,Senior Technical Architect – DevSecOps & IT Service Delivery (Defence / NC2SS),senior technical architect  devsecops  it service delivery defence  nc2ss,,static_html_listing,,https://www.adga.ca/career/senior-technical-architect-devsecops-it-service-delivery-defence-nc2ss/
url:adga:careerseniortechnicalarchitectlinuxsystemscloud,10,Adga,Senior Technical Architect – Linux Systems & Cloud,senior technical architect  linux systems  cloud,,static_html_listing,,https://www.adga.ca/career/senior-technical-architect-linux-systems-cloud/
url:adga:careerindustrialsecurityconsultant,10,Adga,Industrial Security Consultant,industrial security consultant,,static_html_listing,,https://www.adga.ca/career/industrial-security-consultant/
url:adga:careerphysicalsecurityconsultant,10,Adga,Physical Security Consultant,physical security consultant,,static_html_listing,,https://www.adga.ca/career/physical-security-consultant/
url:careers:godonorcareassociate28phlebotomist292639917,82,Careers,Donor Centre Associate,donor centre associate,,static_html_listing,,https://careers.blood.ca/go/Donor-Care-Associate-%28Phlebotomist%29/2639917/
url:dwavequantum:solutionsandproductsdeveloper,132,Dwavequantum,DeveloperStart here!,developerstart here,,ats,rippling,https://www.dwavequantum.com/solutions-and-products/developer/
url:capgemini:insightshottopics,89,Capgemini,Hot topicsReshape your future with AILeading sustainabilityThe future of technologyMarketing for customer experience,hot topicsreshape your future with aileading sustainabilitythe future of technologymarketing for customer experience,,static_html_listing,,https://www.capgemini.com/insights/hot-topics/
url:capgemini:careerscareerpaths,89,Capgemini,Career pathsStudents and graduatesExperienced professionalsExecutivesOur professionsCareers at Capgemini EngineeringCareers at Capgemini Invent,career pathsstudents and graduatesexperienced professionalsexecutivesour professionscareers at capgemini engineeringcareers at capgemini invent,,static_html_listing,,https://www.capgemini.com/careers/career-paths/
url:capgemini:aboutusmanagementandgovernance,89,Capgemini,Management and governanceBoard of DirectorsExecutive committeeResponsible businessPolicies,management and governanceboard of directorsexecutive committeeresponsible businesspolicies,,static_html_listing,,https://www.capgemini.com/about-us/management-and-governance/
url:emeritus:teams,158,Emeritus,"Buildalegacy of impactSayuri's legacy is recruiting, supporting and enablingourA+ workforceSayuri AltamiranoManager | Human ResourcesSEEK YOUR LEGACY",buildalegacy of impactsayuris legacy is recruiting supporting and enablingoura workforcesayuri altamiranomanager  human resourcesseek your legacy,,static_html_listing,,https://careers.emeritus.org/teams/
url:elevenlabs:intentuser,156,Elevenlabs,XElevenLabsElevenCreativeDevelopers,xelevenlabselevencreativedevelopers,,static_html_listing,,https://x.com/intent/user?screen_name=elevenlabs
url:elevenlabs:intentuser,156,Elevenlabs,Developers,developers,,static_html_listing,,https://x.com/intent/user?screen_name=ElevenLabsDevs
url:careers:developers,197,Careers,Developer,developer,,static_html_listing,,https://www.guidewire.com/developers
url:careers:goengineering8762100,205,Careers,Engineering Positions,engineering positions,,static_html_listing,,https://careers.hfsinclair.com/go/Engineering/8762100/
url:hstk:p75e6f2d557a7industrylistenerrelationshipfirstoutreach,202,Hstk,Market Intelligence Associate,market intelligence associate,,static_html_listing,,https://hstk.breezy.hr/p/75e6f2d557a7-industry-listener-relationship-first-outreach
url:hstk:p61391ac45fbbjuniorsoftwareengineer,202,Hstk,Junior Software Engineer,junior software engineer,,static_html_listing,,https://hstk.breezy.hr/p/61391ac45fbb-junior-software-engineer
url:hstk:p6059198d18e2softwareengineer,202,Hstk,Software Engineer,software engineer,,static_html_listing,,https://hstk.breezy.hr/p/6059198d18e2-software-engineer
url:infoblox:resources,221,Infoblox,Reference Architectures,reference architectures,,ats,oracle,https://www.infoblox.com/resources/?resource_types=reference-architecture
url:konghq:plugins,247,Konghq,[Plugin Hub](https://developer.konghq.com/plugins/)Plugin Hub,plugin hubhttpsdeveloperkonghqcompluginsplugin hub,,ats,ashby,https://developer.konghq.com/plugins/
url:konghq:gatewayinstall,247,Konghq,[Kong Gateway](https://developer.konghq.com/gateway/install/)Kong Gateway,kong gatewayhttpsdeveloperkonghqcomgatewayinstallkong gateway,,ats,ashby,https://developer.konghq.com/gateway/install/
url:kraken:featuressecurity,248,Kraken,CompanyKraken SecurityKraken CareersKraken BlogKraken DeveloperPress RoomAffiliate ProgramAsset ListingsKraken StatusSupport CenterComplaintsBreakout Prop Trading,companykraken securitykraken careerskraken blogkraken developerpress roomaffiliate programasset listingskraken statussupport centercomplaintsbreakout prop trading,Price,ats,ashby,https://www.kraken.com/features/security
url:careers:en_uscontenttechtestimonials,250,Careers,"Data engineer at L'OréalMeet Carole, IT Data EngineerRead more",data engineer at loréalmeet carole it data engineerread more,,static_html_listing,,https://careers.loreal.com/en_US/content/Techtestimonials#story5
url:careers:en_uscontenttechtestimonials,250,Careers,"Engineering and the environmentMeet Elie, sustainable packaging engineerRead more",engineering and the environmentmeet elie sustainable packaging engineerread more,,static_html_listing,,https://careers.loreal.com/en_US/content/Techtestimonials#story6
url:careers:en_uscontenttechtestimonials,250,Careers,"From law to L'OréalPierre, IT Europe Contract Manager, shows It's possible!Read more",from law to loréalpierre it europe contract manager shows its possibleread more,,static_html_listing,,https://careers.loreal.com/en_US/content/Techtestimonials#story7
url:careers:en_uscontenttechtestimonials,250,Careers,"Cosmetcis Labels - the science behindElisa, Scientific promotion officer at L'Oréal ProfessionnelRead more",cosmetcis labels  the science behindelisa scientific promotion officer at loréal professionnelread more,,static_html_listing,,https://careers.loreal.com/en_US/content/Techtestimonials#story8
url:careers:en_uscontenttechtestimonials,250,Careers,"The future of Beauty TechFollow Thomas, HR Transformation manager.Read more",the future of beauty techfollow thomas hr transformation managerread more,,static_html_listing,,https://careers.loreal.com/en_US/content/Techtestimonials#story10
url:mercor:careers7d9d9439848b4fb4b2769efc71bb7148,277,Mercor,Data Engineer,data engineer,,static_html_listing,,https://www.mercor.com/careers/7d9d9439-848b-4fb4-b276-9efc71bb7148/
url:mercor:careersdbf687c64d7e4c56a82ea8b304e2a4e3,277,Mercor,Data Partnership Lead,data partnership lead,,static_html_listing,,https://www.mercor.com/careers/dbf687c6-4d7e-4c56-a82e-a8b304e2a4e3/
url:mercor:careers982a0751e9eb4b96ac93a1fd1d2f9152,277,Mercor,Data Scientist,data scientist,,static_html_listing,,https://www.mercor.com/careers/982a0751-e9eb-4b96-ac93-a1fd1d2f9152/
url:mercor:careersb39b38ad6b7140da854f4a5de2657b50,277,Mercor,"Engineering Manager, Applied AI",engineering manager applied ai,,static_html_listing,,https://www.mercor.com/careers/b39b38ad-6b71-40da-854f-4a5de2657b50/
url:mercor:careersf455b12b798246d4a46adf018203b559,277,Mercor,"Engineering Manager, Fraud & Compliance",engineering manager fraud  compliance,,static_html_listing,,https://www.mercor.com/careers/f455b12b-7982-46d4-a46a-df018203b559/
url:mercor:careers476294e67aa24231b3d05f1abe512922,277,Mercor,"Executive Operations, Growth",executive operations growth,,static_html_listing,,https://www.mercor.com/careers/476294e6-7aa2-4231-b3d0-5f1abe512922/
url:mercor:careers9094e4f174324f4db78b749425f86fbc,277,Mercor,"Fullstack Engineer, Assesment",fullstack engineer assesment,,static_html_listing,,https://www.mercor.com/careers/9094e4f1-7432-4f4d-b78b-749425f86fbc/
url:mercor:careersfa580f7f8752428cbb6b439fa72c76e7,277,Mercor,"Fullstack Engineer, RL Environments",fullstack engineer rl environments,,static_html_listing,,https://www.mercor.com/careers/fa580f7f-8752-428c-bb6b-439fa72c76e7/
url:mercor:careers63c60be06b524037910fdae8d21aa41d,277,Mercor,Growth Associate,growth associate,,static_html_listing,,https://www.mercor.com/careers/63c60be0-6b52-4037-910f-dae8d21aa41d/
url:mercor:careersd8b64d803fe049e897e99eefc3b64652,277,Mercor,Growth Associate,growth associate,,static_html_listing,,https://www.mercor.com/careers/d8b64d80-3fe0-49e8-97e9-9eefc3b64652/
url:mercor:careers8b040903f37d4bdb86d3049227f12669,277,Mercor,Healthcare Data Partnerships Lead,healthcare data partnerships lead,,static_html_listing,,https://www.mercor.com/careers/8b040903-f37d-4bdb-86d3-049227f12669/
url:mercor:careers12ef2db75a92417bb1018779b6fc71d0,277,Mercor,Healthcare GTM Associate,healthcare gtm associate,,static_html_listing,,https://www.mercor.com/careers/12ef2db7-5a92-417b-b101-8779b6fc71d0/
url:mercor:careers296c40315e98477295f5a9eb5bd7746d,277,Mercor,Infrastructure Engineer,infrastructure engineer,,static_html_listing,,https://www.mercor.com/careers/296c4031-5e98-4772-95f5-a9eb5bd7746d/
url:mercor:careers73a9f1c63c624c49b65de5f6a3549d95,277,Mercor,"Machine Learning Engineer, Frontier Data Products",machine learning engineer frontier data products,,static_html_listing,,https://www.mercor.com/careers/73a9f1c6-3c62-4c49-b65d-e5f6a3549d95/
url:mercor:careers7cee578f799c46ad8951cb0b724d619a,277,Mercor,"Machine Learning Engineer, Marketplace",machine learning engineer marketplace,,static_html_listing,,https://www.mercor.com/careers/7cee578f-799c-46ad-8951-cb0b724d619a/
url:mercor:careers3c02ed8c38074aef91ccccca5ab578bd,277,Mercor,Payments Engineer,payments engineer,,static_html_listing,,https://www.mercor.com/careers/3c02ed8c-3807-4aef-91cc-ccca5ab578bd/
url:mercor:careers036620924f6b4c828d6d5e7e839c31d7,277,Mercor,"Product Engineer, Talent Experience",product engineer talent experience,,static_html_listing,,https://www.mercor.com/careers/03662092-4f6b-4c82-8d6d-5e7e839c31d7/
url:mercor:careersb0f222759ec5472593f9ea0104cc1272,277,Mercor,Product Manager,product manager,,static_html_listing,,https://www.mercor.com/careers/b0f22275-9ec5-4725-93f9-ea0104cc1272/
url:mercor:careers7df910e99f224479894583ca7660ab18,277,Mercor,"Product Manager, Mobile",product manager mobile,,static_html_listing,,https://www.mercor.com/careers/7df910e9-9f22-4479-8945-83ca7660ab18/
url:mercor:careers3248265b821b48d09ab70d07205f7176,277,Mercor,"Product Manager, Model Gateway",product manager model gateway,,static_html_listing,,https://www.mercor.com/careers/3248265b-821b-48d0-9ab7-0d07205f7176/
url:mercor:careers1207581a0df54814a5e1459ac34c95ac,277,Mercor,Product Operations Manager,product operations manager,,static_html_listing,,https://www.mercor.com/careers/1207581a-0df5-4814-a5e1-459ac34c95ac/
url:mercor:careersed1e0124d0db48248f9427106b20815e,277,Mercor,"Project Manager, Delivery Team",project manager delivery team,,static_html_listing,,https://www.mercor.com/careers/ed1e0124-d0db-4824-8f94-27106b20815e/
url:mercor:careers97b8c17ee4384b61bab19ae18e2c3f34,277,Mercor,"Research Engineer - Environments, Data and Post-Training",research engineer  environments data and posttraining,,static_html_listing,,https://www.mercor.com/careers/97b8c17e-e438-4b61-bab1-9ae18e2c3f34/
url:mercor:careerse2c6a4a087d2425dbf2c322e6128d8dc,277,Mercor,"Research Engineer – Benchmarking, Evals & Failure Analysis",research engineer  benchmarking evals  failure analysis,,static_html_listing,,https://www.mercor.com/careers/e2c6a4a0-87d2-425d-bf2c-322e6128d8dc/
url:mercor:careers44cf5f07342d4f6490623617beb88b31,277,Mercor,"Research Engineer, Environments",research engineer environments,,static_html_listing,,https://www.mercor.com/careers/44cf5f07-342d-4f64-9062-3617beb88b31/
url:mercor:careerscf6fcf5a63484d60beb343333a2c2bb9,277,Mercor,"Security Engineer, Application Security",security engineer application security,,static_html_listing,,https://www.mercor.com/careers/cf6fcf5a-6348-4d60-beb3-43333a2c2bb9/
url:mercor:careersf6ef82f1c7114a19a9be6bc04a2b776c,277,Mercor,"Security Engineer, Cloud Infrastructure",security engineer cloud infrastructure,,static_html_listing,,https://www.mercor.com/careers/f6ef82f1-c711-4a19-a9be-6bc04a2b776c/
url:mercor:careers11f302a29aa04be88370e74d04bd2680,277,Mercor,Senior Growth Lead,senior growth lead,,static_html_listing,,https://www.mercor.com/careers/11f302a2-9aa0-4be8-8370-e74d04bd2680/
url:mercor:careers4f4fc8c3405647bb9e001db6e5dd958f,277,Mercor,"Software Engineer, Agents",software engineer agents,,static_html_listing,,https://www.mercor.com/careers/4f4fc8c3-4056-47bb-9e00-1db6e5dd958f/
url:mercor:careerscae88190a2fd4d0493529f48fedb56a7,277,Mercor,"Software Engineer, Applied AI",software engineer applied ai,,static_html_listing,,https://www.mercor.com/careers/cae88190-a2fd-4d04-9352-9f48fedb56a7/
url:mercor:careersdd4f59a1d0774c2083339a7706210e99,277,Mercor,"Software Engineer, Automation",software engineer automation,,static_html_listing,,https://www.mercor.com/careers/dd4f59a1-d077-4c20-8333-9a7706210e99/
url:mercor:careersa0afa08a54484432bc61a5fe3a73b4de,277,Mercor,"Software Engineer, Backend",software engineer backend,,static_html_listing,,https://www.mercor.com/careers/a0afa08a-5448-4432-bc61-a5fe3a73b4de/
url:mercor:careersae3440993fde4027bfdef953db8b4728,277,Mercor,"Software Engineer, Frontier Data Products",software engineer frontier data products,,static_html_listing,,https://www.mercor.com/careers/ae344099-3fde-4027-bfde-f953db8b4728/
url:mercor:careersa778f283d5964fa9a81e93161eb5399c,277,Mercor,"Software Engineer, Identity",software engineer identity,,static_html_listing,,https://www.mercor.com/careers/a778f283-d596-4fa9-a81e-93161eb5399c/
url:mercor:careers160c8177765b4bdca5be5f646dccc98a,277,Mercor,"Software Engineer, Marketplace",software engineer marketplace,,static_html_listing,,https://www.mercor.com/careers/160c8177-765b-4bdc-a5be-5f646dccc98a/
url:mercor:careerscb67851b02694cf5996c34c3a88a19c8,277,Mercor,"Software Engineer, Platform",software engineer platform,,static_html_listing,,https://www.mercor.com/careers/cb67851b-0269-4cf5-996c-34c3a88a19c8/
url:mercor:careersa217f1a6c63c4dfb81c3ecc0c5d44f98,277,Mercor,"Software Engineer, Robotics Data",software engineer robotics data,,static_html_listing,,https://www.mercor.com/careers/a217f1a6-c63c-4dfb-81c3-ecc0c5d44f98/
url:mercor:careers0dd928d6794d4e7eb456be6ac3b6947c,277,Mercor,Technology Operations Lead,technology operations lead,,static_html_listing,,https://www.mercor.com/careers/0dd928d6-794d-4e7e-b456-be6ac3b6947c/
url:mercor:careers6c48e08c1ad44c1a9eb35b72f38df2a8,277,Mercor,Technology Operations Specialist (L3),technology operations specialist l3,,static_html_listing,,https://www.mercor.com/careers/6c48e08c-1ad4-4c1a-9eb3-5b72f38df2a8/
url:mercor:careers9a012d72f29648faa9b9f77ea3ea14b0,277,Mercor,Visual/Brand Designer,visualbrand designer,,static_html_listing,,https://www.mercor.com/careers/9a012d72-f296-48fa-a9b9-f77ea3ea14b0/
url:mercor:careers6299fe0b92754bd2b6e80de1d8b77f08,277,Mercor,Assessment Designer & Learning Analyst,assessment designer  learning analyst,,static_html_listing,,https://www.mercor.com/careers/6299fe0b-9275-4bd2-b6e8-0de1d8b77f08/
url:mercor:careers2ea7900f8b99471ab296494b2aecbaec,277,Mercor,Engagement Manager,engagement manager,,static_html_listing,,https://www.mercor.com/careers/2ea7900f-8b99-471a-b296-494b2aecbaec/
url:mercor:careers15dc993f87fd496a9b12144aab4c02ce,277,Mercor,"Engagement Manager, Human Data Staffing",engagement manager human data staffing,,static_html_listing,,https://www.mercor.com/careers/15dc993f-87fd-496a-9b12-144aab4c02ce/
url:mercor:careers9084be408c5543f3ae6459524de8ad11,277,Mercor,Executive Assistant,executive assistant,,static_html_listing,,https://www.mercor.com/careers/9084be40-8c55-43f3-ae64-59524de8ad11/
url:mercor:careers4b96e7ba8d9342a880e6d724c6ad6758,277,Mercor,"Founding Account Executive, Talent Solutions - Enterprise",founding account executive talent solutions  enterprise,,static_html_listing,,https://www.mercor.com/careers/4b96e7ba-8d93-42a8-80e6-d724c6ad6758/
url:mercor:careers81674390a5b34c37b828e4459ce250d5,277,Mercor,"Founding Account Executive, Talent Solutions - Mid-Market",founding account executive talent solutions  midmarket,,static_html_listing,,https://www.mercor.com/careers/81674390-a5b3-4c37-b828-e4459ce250d5/
url:mercor:careersea2c3bcc5ebd4061944487d6bb27e38c,277,Mercor,Learning Designer,learning designer,,static_html_listing,,https://www.mercor.com/careers/ea2c3bcc-5ebd-4061-9444-87d6bb27e38c/
url:mercor:careers9c546843035f44009d0dd5de5f7205ff,277,Mercor,Research Program Manager,research program manager,,static_html_listing,,https://www.mercor.com/careers/9c546843-035f-4400-9d0d-d5de5f7205ff/
url:mercor:careersb560990b67434db3895398d5f55e4af1,277,Mercor,Strategic Project Associate,strategic project associate,,static_html_listing,,https://www.mercor.com/careers/b560990b-6743-4db3-8953-98d5f55e4af1/
url:mercor:careers426a1c6be2854b889f949048b1d6dc8c,277,Mercor,Strategic Project Lead,strategic project lead,,static_html_listing,,https://www.mercor.com/careers/426a1c6b-e285-4b88-9f94-9048b1d6dc8c/
url:mercor:careersbccf17a55bd84086ae0905eb08f37c54,277,Mercor,"Strategic Project Lead, Enterprise Human Data",strategic project lead enterprise human data,,static_html_listing,,https://www.mercor.com/careers/bccf17a5-5bd8-4086-ae09-05eb08f37c54/
url:mercor:careersacd9b1aa90d64182a70cf08df5090bfd,277,Mercor,Strategy & Operations Associate,strategy  operations associate,,static_html_listing,,https://www.mercor.com/careers/acd9b1aa-90d6-4182-a70c-f08df5090bfd/
url:mercor:careersd2c5061f79d346bfa2f544827d0772ac,277,Mercor,"Engineering Manager, Enterprise Applied AI",engineering manager enterprise applied ai,,static_html_listing,,https://www.mercor.com/careers/d2c5061f-79d3-46bf-a2f5-44827d0772ac/
url:mercor:careers50a584262e9743a599b1d0d9cdc88100,277,Mercor,Enterprise AI Associate,enterprise ai associate,,static_html_listing,,https://www.mercor.com/careers/50a58426-2e97-43a5-99b1-d0d9cdc88100/
url:mercor:careersd1bd87410e5e494abefcda13f7aff58c,277,Mercor,Enterprise AI Lead,enterprise ai lead,,static_html_listing,,https://www.mercor.com/careers/d1bd8741-0e5e-494a-befc-da13f7aff58c/
url:mercor:careers88e8c31f819749488d8cff3ceee367ce,277,Mercor,Enterprise AI Lead,enterprise ai lead,,static_html_listing,,https://www.mercor.com/careers/88e8c31f-8197-4948-8d8c-ff3ceee367ce/
url:mercor:careers2d252cf2649b4cbda943baf6a042dde1,277,Mercor,GTM Associate,gtm associate,,static_html_listing,,https://www.mercor.com/careers/2d252cf2-649b-4cbd-a943-baf6a042dde1/
url:mercor:careerse106399ed85e4af29bc86a0e144f318f,277,Mercor,"Software Engineer, Enterprise Applied AI",software engineer enterprise applied ai,,static_html_listing,,https://www.mercor.com/careers/e106399e-d85e-4af2-9bc8-6a0e144f318f/
url:mercor:careersc019b11f4fbb46a2bbad338ba8f4bedb,277,Mercor,Agentic Finance Engineer,agentic finance engineer,,static_html_listing,,https://www.mercor.com/careers/c019b11f-4fbb-46a2-bbad-338ba8f4bedb/
url:mercor:careers94e0047f60a9478f8882dc09b9e2cbab,277,Mercor,Procurement Operations Lead,procurement operations lead,,static_html_listing,,https://www.mercor.com/careers/94e0047f-60a9-478f-8882-dc09b9e2cbab/
url:mercor:careersa923547937c442c68eff7d94bb00c755,277,Mercor,Senior Strategic Sourcing Manager,senior strategic sourcing manager,,static_html_listing,,https://www.mercor.com/careers/a9235479-37c4-42c6-8eff-7d94bb00c755/
url:mercor:careers135b30d69dec4c29acaf077938929962,277,Mercor,Event Lead,event lead,,static_html_listing,,https://www.mercor.com/careers/135b30d6-9dec-4c29-acaf-077938929962/
url:mercor:careers60ae9c1e9e924c2da20844fe8cf9c869,277,Mercor,"Marketing Lead, Evals",marketing lead evals,,static_html_listing,,https://www.mercor.com/careers/60ae9c1e-9e92-4c2d-a208-44fe8cf9c869/
url:mercor:7322386aimercorprofessionaltasksdataannotation,277,Mercor,"AI is learning to do the jobs of doctors, lawyers, and consultants",ai is learning to do the jobs of doctors lawyers and consultants,,static_html_listing,,https://time.com/7322386/ai-mercor-professional-tasks-data-annotation/
url:okta:companycareersjoblisting,303,Okta,Solutions Engineering jobs,solutions engineering jobs,,static_html_listing,,https://www.okta.com/company/careers/job-listing/?department=5534&location=All
url:randstad:jobsstechnologies,347,Randstad,digital & product engineering,digital  product engineering,,static_html_listing,,https://www.randstad.ca/jobs/s-technologies/
url:randstad:jobseekerdigital,347,Randstad,digital & product engineering,digital  product engineering,,static_html_listing,,https://www.randstad.ca/job-seeker/digital/
url:randstad:employersrandstaddigital,347,Randstad,digital & product engineering,digital  product engineering,,static_html_listing,,https://www.randstad.ca/employers/randstad-digital/
url:randstad:employersenterprise,347,Randstad,advisory consulting,advisory consulting,,static_html_listing,,https://www.randstad.ca/employers/enterprise/#advisory
url:randstad:jobssengineering,347,Randstad,Engineering,engineering,,static_html_listing,,https://www.randstad.ca/jobs/s-engineering/
url:randgroup:softwareengineering,346,Randgroup,Software Engineering,software engineering,,ats,icims,https://www.randgroup.com/software-engineering/
url:riverside:careerswebdeveloper,361,Riverside,Web Developer,web developer,,static_html_listing,,https://careers.riverside.com/careers/web-developer
url:riverside:careersuseracquisitionmanager,361,Riverside,User Acquisition Manager,user acquisition manager,,static_html_listing,,https://careers.riverside.com/careers/user-acquisition-manager
url:riverside:careerssmbcustomersuccessmanager,361,Riverside,SMB Customer Success Manager,smb customer success manager,,static_html_listing,,https://careers.riverside.com/careers/smb-customer-success-manager
url:riverside:careersseniorproductmanager,361,Riverside,Senior Product Manager,senior product manager,,static_html_listing,,https://careers.riverside.com/careers/senior-product-manager
url:riverside:careersseniorproductdesigner,361,Riverside,Senior Product Designer,senior product designer,,static_html_listing,,https://careers.riverside.com/careers/senior-product-designer
url:riverside:careersseniorinfluencermarketingmanager,361,Riverside,Senior Influencer Marketing Manager,senior influencer marketing manager,,static_html_listing,,https://careers.riverside.com/careers/senior-influencer-marketing-manager
url:riverside:careersseniorfullstackengineerpoland3330c,361,Riverside,Senior Full Stack Engineer (Poland),senior full stack engineer poland,,static_html_listing,,https://careers.riverside.com/careers/senior-full-stack-engineer-poland-3330c
url:riverside:careersseniorfullstackengineerpoland,361,Riverside,Senior Full Stack Engineer (Poland),senior full stack engineer poland,,static_html_listing,,https://careers.riverside.com/careers/senior-full-stack-engineer-poland
url:riverside:careersseniorfullstackengineerbrazil,361,Riverside,Senior Full Stack Engineer (Brazil),senior full stack engineer brazil,,static_html_listing,,https://careers.riverside.com/careers/senior-full-stack-engineer-brazil
url:riverside:careersseniorfullstackengineer,361,Riverside,Senior Full Stack Engineer,senior full stack engineer,,static_html_listing,,https://careers.riverside.com/careers/senior-full-stack-engineer
url:sardine:engineering,371,Sardine,Engineering Blog,engineering blog,,ats,ashby,https://www.sardine.ai/engineering#top
url:rezdy:careers,358,Rezdy,Channel ManagerAccess the largest distribution network,channel manageraccess the largest distribution network,,static_html_listing,,https://rezdy.com/careers/
url:careers:jobcanonsburgseniortechnicalsupportengineer4440896362337024,415,Careers,Senior Technical Support Engineer,senior technical support engineer,,static_html_listing,,https://careers.synopsys.com/job/canonsburg/senior-technical-support-engineer/44408/96362337024
url:careers:jobaustinsrstaffapplicationengineerfpgaprototyping172054440894869654016,415,Careers,"Sr. Staff Application Engineer, FPGA Prototyping-17205",sr staff application engineer fpga prototyping17205,,static_html_listing,,https://careers.synopsys.com/job/austin/sr-staff-application-engineer-fpga-prototyping-17205/44408/94869654016
url:testgorilla:testgorilla8e76c770bade45269e0d25f5b3c4d866,434,Testgorilla,Renewal Manager (LATAM),renewal manager latam,,ats,ashby,https://jobs.ashbyhq.com/testgorilla/8e76c770-bade-4526-9e0d-25f5b3c4d866
url:testgorilla:testgorilla007f6b53027e477dbeb5630715ed7470,434,Testgorilla,Senior Demand Generation Manager,senior demand generation manager,,ats,ashby,https://jobs.ashbyhq.com/testgorilla/007f6b53-027e-477d-beb5-630715ed7470
url:testgorilla:testgorilla4a5f56ac8b6d44658da59b3bc1990ddf,434,Testgorilla,(Senior) Product Advisor - Future Opportunities,senior product advisor  future opportunities,,ats,ashby,https://jobs.ashbyhq.com/testgorilla/4a5f56ac-8b6d-4465-8da5-9b3bc1990ddf
url:careers:platformagenticautomation,462,Careers,"Agentic AutomationDiscover the place where agents think, robots do, and people lead.",agentic automationdiscover the place where agents think robots do and people lead,,ats,ashby,https://www.uipath.com/platform/agentic-automation
url:careers:developers,462,Careers,Developers,developers,Agent Speed,ats,ashby,https://www.uipath.com/developers
url:vantagegroup:advisoryservices,470,Vantagegroup,Advisory Services,advisory services,,ats,icims,https://www.vantagegroup.com/advisory-services/
url:zapier:lleadrouter,503,Zapier,Lead RouterBeta,lead routerbeta,,ats,ashby,https://zapier.com/l/leadrouter
