canonical_job_id,record_id,organization_name,title,normalized_title,location,source_type,source_provider,job_url
url:aha:suiteaioverview,17,Aha,Elle (AI assistant),elle ai assistant,,static_html_listing,,https://www.aha.io/suite/ai-overview
url:anaplan:platformintelligentrolebasedagents,33,Anaplan,Meet your Sales Analyst,meet your sales analyst,,static_html_listing,,https://www.anaplan.com/platform/intelligent-role-based-agents/#sales-tab
url:anaplan:platformintelligentrolebasedagents,33,Anaplan,Meet Anaplan Supply Chain Analyst,meet anaplan supply chain analyst,,static_html_listing,,https://www.anaplan.com/platform/intelligent-role-based-agents/#supply-chain-tab
url:anaplan:platformintelligentrolebasedagents,33,Anaplan,Meet Anaplan Workforce Analyst,meet anaplan workforce analyst,,static_html_listing,,https://www.anaplan.com/platform/intelligent-role-based-agents/#workforce-tab
url:adga:careerseniormodellingsimulationsoftwaredeveloper,10,Adga,Senior Modelling & Simulation Software Developer,senior modelling  simulation software developer,,static_html_listing,,https://www.adga.ca/career/senior-modelling-simulation-software-developer/
url:adga:careersoftwarearchitect,10,Adga,Software Architect,software architect,,static_html_listing,,https://www.adga.ca/career/software-architect/
url:adga:careerseniornavyexercisedirector2,10,Adga,Senior Navy Exercise Director,senior navy exercise director,,static_html_listing,,https://www.adga.ca/career/senior-navy-exercise-director-2/
url:adga:careerseniorcomputernetworktechnician,10,Adga,Senior Computer/Network Technician,senior computernetwork technician,,static_html_listing,,https://www.adga.ca/career/senior-computer-network-technician/
url:adga:careerseniorradiofrequencysystemspecialist2,10,Adga,Senior Radio Frequency System Specialist,senior radio frequency system specialist,,static_html_listing,,https://www.adga.ca/career/senior-radio-frequency-system-specialist-2/
url:adga:careerintermediatesoftwaredeveloperhrmsapplications4,10,Adga,Intermediate Software Developer (HRMS Applications),intermediate software developer hrms applications,,static_html_listing,,https://www.adga.ca/career/intermediate-software-developer-hrms-applications-4/
url:adga:careerneedsanalysisandresearchconsultant,10,Adga,Needs Analysis and Research Consultant,needs analysis and research consultant,,static_html_listing,,https://www.adga.ca/career/needs-analysis-and-research-consultant/
url:adga:careerintelligencemissiondatasystemsanalyst4,10,Adga,Intelligence Mission Data Systems Analyst,intelligence mission data systems analyst,,static_html_listing,,https://www.adga.ca/career/intelligence-mission-data-systems-analyst-4/
url:adga:careerdirectordigitalsafety,10,Adga,"Director, Digital Safety",director digital safety,,static_html_listing,,https://www.adga.ca/career/director-digital-safety/
url:adga:careerseniorotandcybersecuritysystemsspecialist,10,Adga,Senior OT and Cybersecurity Systems Specialist,senior ot and cybersecurity systems specialist,,static_html_listing,,https://www.adga.ca/career/senior-ot-and-cybersecurity-systems-specialist/
url:adga:careertechnicienneenelectroniqueelectronicstechnicianportcartier,10,Adga,Technicien.ne en électronique/ Electronics Technician – Port-Cartier,technicienne en électronique electronics technician  portcartier,,static_html_listing,,https://www.adga.ca/career/technicien-ne-en-electronique-electronics-technician-port-cartier/
url:adga:careertechniciendemaintenancedessystemesdesecuritesecuritysystemsmaintenancetechnician,10,Adga,Technicien de maintenance des systèmes de sécurité / Security Systems Maintenance Technician,technicien de maintenance des systèmes de sécurité  security systems maintenance technician,,static_html_listing,,https://www.adga.ca/career/technicien-de-maintenance-des-systemes-de-securite-security-systems-maintenance-technician/
url:adga:careertechnicienneenelectroniqueelectronicstechnician,10,Adga,Technicien.ne en électronique / Electronics Technician,technicienne en électronique  electronics technician,,static_html_listing,,https://www.adga.ca/career/technicien-ne-en-electronique-electronics-technician/
